eventID,Agency,institution,hour,dtime,magnitudeType,sigmaMagnitude,depth,longitude,month,second,magnitude,year,latitude,day,minute
45547,GSHAP_TR,PAPAZ.,1,23.000116089548452,MW,0,999.0,30.0,1,1.0,6.3,23,37.2,1,1
70706,SBEI,,1,37.000116089548456,MS,0.2,15.0,36.3,1,1.0,6.2,37,36.0,1,1
70707,SBEI,,1,53.000116089548456,MS,0.2,30.0,36.5,1,1.0,6.6,53,36.2,1,1
44743,GSHAP_TR,ANK,1,110.00011608954846,MW,0,999.0,36.0,1,1.0,6.7,110,36.2,1,1
70708,SBEI,,1,303.00011608954844,MS,0.2,20.0,34.3,1,1.0,7.1,303,33.8,1,1
0,AA14,,1,363.37819828132928,MS,0.2,999.0,35.2,5,1.0,6.8,363,31.5,19,1
70709,SBEI,,1,494.00011608954844,MS,0.2,25.0,36.3,1,1.0,6.5,494,35.8,1,1
70710,SBEI,,1,502.63847225393204,MS,0.2,30.0,34.8,8,1.0,7.2,502,33.0,22,1
45595,GSHAP_TR,PAPAZ.,1,530.00011608954844,MW,0,999.0,30.0,1,1.0,6.5,530,36.2,1,1
70711,SBEI,,1,531.00011608954844,MS,0.2,15.0,37.2,1,1.0,6.5,531,35.5,1,1
44,AM06,,1,551.51792430872649,MS,0.2,28.0,35.5,7,1.0,7.2,551,33.9,9,1
44759,GSHAP_TR,ANK,1,561.00011608954844,MW,0,999.0,35.9,1,1.0,6.7,561,37.2,1,1
70713,SBEI,,1,565.00011608954844,MS,0.17,30.0,36.2,1,1.0,6.1,565,36.0,1,1
1,AA14,,1,634.66586951420595,MW,0,999.0,35.5,9,1.0,6.0,634,32.3,1,1
2,AA14,,1,659.41381471968543,MW,0,999.0,35.5,6,1.0,6.0,659,32.3,1,1
45,AM06,,1,746.0466914320142,MS,0.2,999.0,35.8,1,1.0,7.0,746,32.8,18,1
70714,SBEI,,1,747.0466914320142,MS,0.2,25.0,35.6,1,1.0,6.2,747,32.5,18,1
3,MA03,,1,749.0466914320142,MS,0.2,999.0,35.5,1,1.0,7.3,749,32.5,18,1
70715,SBEI,,1,847.89600650050738,MS,0.2,35.0,36.3,11,1.0,7.5,847,34.4,24,1
70716,SBEI,,1,859.99463663749361,MS,0.2,33.0,36.4,12,1.0,7.4,859,35.7,30,1
46,AM06,,1,860.00011577236387,MS,0.2,999.0,35.5,1,1.0,7.0,860,35.5,1,1
70717,SBEI,,1,991.25765033612379,MS,0.2,22.0,36.4,4,1.0,7.1,991,33.7,5,1
2648,EMEC,KU,1,1002.8576503361238,MW,0,18.0,36.5,11,1.0,6.9,1002,36.5,10,1
70742,SHARE,,0,1003.2164383561644,MW,0,999.0,38.8,3,0.0,6.2,1003,37.1,21,0
2653,EMEC,FA,1,1016.0001157723639,MW,0,999.0,35.5,1,1.0,5.5,1016,32.2,1,1
2656,EMEC,KKP,1,1033.9261434868088,MW,0,999.0,35.5,12,1.0,6.5,1033,32.5,5,1
70758,SHARE,,4,1037.9621004566211,MW,0,999.0,38.8,12,0.0,5.8,1037,37.1,18,0
2666,EMEC,FA,1,1047.0001160895486,MW,0,999.0,35.5,1,1.0,6.5,1047,31.0,1,1
2670,EMEC,FA,1,1060.0001157723639,MW,0,999.0,35.5,1,1.0,6.1,1060,32.2,1,1
70718,SBEI,,1,1063.5754585553018,MS,0.2,32.0,36.2,7,1.0,6.9,1063,34.4,30,1
2671,EMEC,SDM,1,1063.5809380073567,MW,0,32.0,36.3,8,1.0,6.8,1063,34.4,1,1
2675,EMEC,ZIL05,1,1068.0001157723639,MW,0,999.0,35.3,1,1.0,6.9,1068,30.1,1,1
2676,EMEC,GC,1,1068.4072195975004,MW,0,999.0,35.3,5,1.0,7.0,1068,32.6,29,1
70785,SHARE,,0,1091.6657534246576,MW,0,999.0,36.1,9,0.0,5.8,1091,36.25,1,0
2683,EMEC,KKP,1,1091.7097051306444,MW,0,999.0,36.1,9,1.0,6.5,1091,36.1,17,1
