"lon" "lat" "2.5" "10" "22.5" "40"
29.95 37.8 0.11 0.39 0.18 0.32
30.05 37.8 0.11 0.39 0.18 0.32
30.15 37.8 0.11 0.39 0.18 0.32
30.25 37.8 0.11 0.39 0.18 0.32
30.35 37.8 0.11 0.39 0.18 0.32
30.45 37.8 0.11 0.39 0.18 0.32
30.55 37.8 0.11 0.39 0.18 0.32
30.65 37.8 0.11 0.39 0.18 0.32
30.75 37.8 0.11 0.39 0.18 0.32
30.85 37.8 0.11 0.39 0.18 0.32
30.95 37.8 0.11 0.39 0.18 0.32
31.05 37.8 0.11 0.39 0.18 0.32
31.15 37.8 0.11 0.39 0.18 0.32
31.25 37.8 0.11 0.39 0.18 0.32
31.35 37.8 0.11 0.39 0.18 0.32
31.45 37.8 0.11 0.39 0.18 0.32
31.55 37.8 0.11 0.39 0.18 0.32
31.65 37.8 0.11 0.39 0.18 0.32
31.75 37.8 0.11 0.39 0.18 0.32
31.85 37.8 0.11 0.39 0.18 0.32
31.95 37.8 0.11 0.39 0.18 0.32
32.05 37.8 0.11 0.39 0.18 0.32
32.15 37.8 0.11 0.39 0.18 0.32
32.25 37.8 0.11 0.39 0.18 0.32
32.35 37.8 0.11 0.39 0.18 0.32
32.45 37.8 0.11 0.39 0.18 0.32
32.55 37.8 0.11 0.39 0.18 0.32
32.65 37.8 0.11 0.39 0.18 0.32
32.75 37.8 0.11 0.39 0.18 0.32
32.85 37.8 0.11 0.39 0.18 0.32
32.95 37.8 0.11 0.39 0.18 0.32
33.05 37.8 0.11 0.39 0.18 0.32
33.15 37.8 0.11 0.39 0.18 0.32
33.25 37.8 0.11 0.39 0.18 0.32
33.35 37.8 0.11 0.39 0.18 0.32
33.45 37.8 0.11 0.39 0.18 0.32
33.55 37.8 0.11 0.39 0.18 0.32
33.65 37.8 0.11 0.39 0.18 0.32
33.75 37.8 0.11 0.39 0.18 0.32
33.85 37.8 0.11 0.39 0.18 0.32
33.95 37.8 0.14 0.51 0.14 0.21
34.05 37.8 0.14 0.51 0.14 0.21
34.15 37.8 0.14 0.51 0.14 0.21
34.25 37.8 0.14 0.51 0.14 0.21
34.35 37.8 0.14 0.51 0.14 0.21
34.45 37.8 0.14 0.51 0.14 0.21
34.55 37.8 0.14 0.51 0.14 0.21
34.65 37.8 0.14 0.51 0.14 0.21
34.75 37.8 0.14 0.51 0.14 0.21
34.85 37.8 0.14 0.51 0.14 0.21
34.95 37.8 0.14 0.51 0.14 0.21
35.05 37.8 0.14 0.51 0.14 0.21
35.15 37.8 0.14 0.51 0.14 0.21
35.25 37.8 0.14 0.51 0.14 0.21
35.35 37.8 0.14 0.51 0.14 0.21
35.45 37.8 0.14 0.51 0.14 0.21
35.55 37.8 0.14 0.51 0.14 0.21
35.65 37.8 0.14 0.51 0.14 0.21
35.75 37.8 0.14 0.51 0.14 0.21
35.85 37.8 0.14 0.51 0.14 0.21
35.95 37.8 0.14 0.51 0.14 0.21
36.05 37.8 0.14 0.51 0.14 0.21
36.15 37.8 0.14 0.51 0.14 0.21
36.25 37.8 0.14 0.51 0.14 0.21
36.35 37.8 0.14 0.51 0.14 0.21
36.45 37.8 0.14 0.51 0.14 0.21
