eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType,cluster_index
45547,GSHAP_TR,23,1,1,1,1,1,,30.00,37.20,,,,999,,6.3,,MW,0
70706,SBEI,37,1,1,1,1,1,,36.30,36.00,,,,15,,6.2,,MS,0
70707,SBEI,53,1,1,1,1,1,,36.50,36.20,,,,30,,6.6,,MS,0
44743,GSHAP_TR,110,1,1,1,1,1,,36.00,36.20,,,,999,,6.7,,MW,0
70708,SBEI,303,1,1,1,1,1,,34.30,33.80,,,,20,,7.1,,MS,0
0,AA14,363,5,19,1,1,1,,35.20,31.50,,,,999,,6.8,,MS,0
70709,SBEI,494,1,1,1,1,1,,36.30,35.80,,,,25,,6.5,,MS,0
70710,SBEI,502,8,22,1,1,1,,34.80,33.00,,,,30,,7.2,,MS,0
45595,GSHAP_TR,530,1,1,1,1,1,,30.00,36.20,,,,999,,6.5,,MW,0
70711,SBEI,531,1,1,1,1,1,,37.20,35.50,,,,15,,6.5,,MS,0
44,AM06,551,7,9,1,1,1,,35.50,33.90,,,,28,,7.2,,MS,0
44759,GSHAP_TR,561,1,1,1,1,1,,35.90,37.20,,,,999,,6.7,,MW,0
70713,SBEI,565,1,1,1,1,1,,36.20,36.00,,,,30,,6.1,,MS,0
1,AA14,634,9,1,1,1,1,,35.50,32.30,,,,999,,6.0,,MW,0
2,AA14,659,6,1,1,1,1,,35.50,32.30,,,,999,,6.0,,MW,0
45,AM06,746,1,18,1,1,1,,35.80,32.80,,,,999,,7.0,,MS,7
3,MA03,749,1,18,1,1,1,,35.50,32.50,,,,999,,7.3,,MS,0
70715,SBEI,847,11,24,1,1,1,,36.30,34.40,,,,35,,7.5,,MS,0
70716,SBEI,859,12,30,1,1,1,,36.40,35.70,,,,33,,7.4,,MS,2
70717,SBEI,991,4,5,1,1,1,,36.40,33.70,,,,22,,7.1,,MS,0
2648,EMEC,1002,11,10,1,1,1,,36.50,36.50,,,,18,,6.9,,MW,0
70742,SHARE,1003,3,21,0,0,0,,38.80,37.10,,,,999,,6.2,,MW,0
2653,EMEC,1016,1,1,1,1,1,,35.50,32.20,,,,999,,5.5,,MW,0
2656,EMEC,1033,12,5,1,1,1,,35.50,32.50,,,,999,,6.5,,MW,0
70758,SHARE,1037,12,18,4,0,0,,38.80,37.10,,,,999,,5.8,,MW,0
2666,EMEC,1047,1,1,1,1,1,,35.50,31.00,,,,999,,6.5,,MW,0
2670,EMEC,1060,1,1,1,1,1,,35.50,32.20,,,,999,,6.1,,MW,0
70718,SBEI,1063,7,30,1,1,1,,36.20,34.40,,,,32,,6.9,,MS,11
2675,EMEC,1068,1,1,1,1,1,,35.30,30.10,,,,999,,6.9,,MW,0
2676,EMEC,1068,5,29,1,1,1,,35.30,32.60,,,,999,,7.0,,MW,0
2683,EMEC,1091,9,17,1,1,1,,36.10,36.10,,,,999,,6.5,,MW,17
