eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType,cluster_index
58927,KHAIR,-2150,1,1,1,1,1.0,,35.5,31.100000000000001,,,,999.0,,7.2999999999999998,,MS,0
58929,KHAIR,-1250,1,1,1,1,1.0,,35.5,32.0,,,,999.0,,6.2999999999999998,,MS,0
58930,KHAIR,-759,10,11,1,1,1.0,,35.700000000000003,33.200000000000003,,,,999.0,,7.2000000000000002,,MS,0
58931,KHAIR,-184,1,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,6.5999999999999996,,MS,0
58932,KHAIR,-64,1,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,7.4000000000000004,,MS,0
58934,KHAIR,-31,9,2,1,1,1.0,,35.5,32.0,,,,999.0,,6.5,,MS,0
45538,GSHAP_TR,23,1,1,1,1,1.0,,30.0,37.200000000000003,,,,999.0,,6.2999999999999998,,MW,0
58935,KHAIR,37,3,23,1,1,1.0,,36.0,36.0,,,,999.0,,6.2999999999999998,,MS,30
70803,SBEI,53,1,1,1,1,1.0,,36.5,36.200000000000003,,,,30.0,,6.5999999999999996,,MS,0
44734,GSHAP_TR,110,1,1,1,1,1.0,,36.0,36.200000000000003,,,,999.0,,6.7000000000000002,,MW,0
58937,KHAIR,115,12,13,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,7.2999999999999998,,MS,0
70804,SBEI,303,1,1,1,1,1.0,,34.299999999999997,33.799999999999997,,,,20.0,,7.0999999999999996,,MS,0
58939,KHAIR,341,1,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,6.0999999999999996,,MS,0
34,AM06,363,5,19,1,1,1.0,,35.399999999999999,31.5,,,,999.0,,7.4000000000000004,,MS,4
58943,KHAIR,419,1,1,1,1,1.0,,34.200000000000003,31.199999999999999,,,,999.0,,6.0999999999999996,,MS,0
58946,KHAIR,457,9,14,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,6.2999999999999998,,MS,0
70805,SBEI,494,1,1,1,1,1.0,,36.299999999999997,35.799999999999997,,,,25.0,,6.5,,MS,0
70806,SBEI,502,8,22,1,1,1.0,,34.799999999999997,33.0,,,,30.0,,7.2000000000000002,,MS,0
58951,KHAIR,526,5,20,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,6.7999999999999998,,MS,0
58952,KHAIR,528,11,29,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,6.9000000000000004,,MS,0
45586,GSHAP_TR,530,1,1,1,1,1.0,,30.0,36.200000000000003,,,,999.0,,6.5,,MW,0
70807,SBEI,531,1,1,1,1,1.0,,37.200000000000003,35.5,,,,15.0,,6.5,,MS,0
58953,KHAIR,551,7,6,1,1,1.0,,35.5,33.899999999999999,,,,999.0,,7.5,,MS,3
44750,GSHAP_TR,561,1,1,1,1,1.0,,35.899999999999999,37.200000000000003,,,,999.0,,6.7000000000000002,,MW,0
70809,SBEI,565,1,1,1,1,1.0,,36.200000000000003,36.0,,,,30.0,,6.0999999999999996,,MS,0
58955,KHAIR,579,1,1,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,6.0,,MS,0
58956,KHAIR,658,6,15,1,1,1.0,,35.5,32.5,,,,999.0,,6.4000000000000004,,MS,0
58957,KHAIR,713,3,20,1,1,1.0,,36.0,36.0,,,,999.0,,6.7999999999999998,,MS,0
70810,SBEI,747,1,18,1,1,1.0,,35.600000000000001,32.5,,,,25.0,,7.2000000000000002,,MS,9
58962,KHAIR,835,1,5,1,1,1.0,,36.0,36.0,,,,999.0,,6.0,,MS,0
58963,KHAIR,844,9,18,1,1,1.0,,36.299999999999997,33.5,,,,999.0,,6.2999999999999998,,MS,0
58964,KHAIR,847,4,1,1,1,1.0,,36.299999999999997,33.5,,,,999.0,,6.0999999999999996,,MS,0
70811,SBEI,847,11,24,1,1,1.0,,36.299999999999997,34.399999999999999,,,,35.0,,7.5,,MS,0
58966,KHAIR,859,4,8,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,7.9000000000000004,,MS,1
58967,KHAIR,963,7,22,1,1,1.0,,37.0,36.5,,,,999.0,,6.2000000000000002,,MS,0
58968,KHAIR,972,1,1,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,6.0,,MS,0
58969,KHAIR,991,4,5,1,1,1.0,,36.200000000000003,33.299999999999997,,,,22.0,,6.5,,MS,0
2639,EMEC,1002,11,10,1,1,1.0,,36.5,36.5,,,,18.0,,6.9000000000000004,,MW,0
70838,SHARE,1003,3,21,0,0,0.0,,38.799999999999997,37.100000000000001,,,,999.0,,6.2000000000000002,,MW,0
2644,EMEC,1016,1,1,1,1,1.0,,35.5,32.200000000000003,,,,999.0,,5.5,,MW,0
2646,EMEC,1032,3,6,1,1,1.0,,35.100000000000001,34.799999999999997,,,,999.0,,7.0,,MW,0
2647,EMEC,1033,12,5,1,1,1.0,,35.5,32.5,,,,999.0,,6.5,,MS,0
70854,SHARE,1037,12,18,4,0,0.0,,38.799999999999997,37.100000000000001,,,,999.0,,5.7999999999999998,,MW,0
2657,EMEC,1047,1,1,1,1,1.0,,35.5,31.0,,,,999.0,,6.5,,MW,0
2661,EMEC,1060,1,1,1,1,1.0,,35.5,32.200000000000003,,,,999.0,,6.0999999999999996,,MW,0
70814,SBEI,1063,7,30,1,1,1.0,,36.200000000000003,34.399999999999999,,,,32.0,,6.9000000000000004,,MS,17
2666,EMEC,1068,1,1,1,1,1.0,,35.299999999999997,30.100000000000001,,,,999.0,,6.9000000000000004,,MW,0
2667,EMEC,1068,5,29,1,1,1.0,,35.299999999999997,32.600000000000001,,,,999.0,,7.0,,MW,0
2674,EMEC,1091,9,17,1,1,1.0,,36.100000000000001,36.100000000000001,,,,999.0,,6.5,,MW,26
2676,EMEC,1094,6,1,1,1,1.0,,36.200000000000003,33.299999999999997,,,,999.0,,5.2000000000000002,,MW,0
2678,EMEC,1097,12,30,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,5.7999999999999998,,MW,0
2681,EMEC,1105,12,24,1,1,1.0,,35.200000000000003,31.800000000000001,,,,999.0,,5.2999999999999998,,MW,0
2684,EMEC,1111,8,31,6,30,1.0,,31.199999999999999,30.0,,,,999.0,,5.7999999999999998,,MW,0
2686,EMEC,1114,11,1,1,1,1.0,,36.5,37.299999999999997,,,,40.0,,7.2000000000000002,,MS,13
2690,EMEC,1117,6,26,1,1,1.0,,35.200000000000003,33.100000000000001,,,,999.0,,6.2999999999999998,,MW,0
2703,EMEC,1138,10,11,1,1,1.0,,37.100000000000001,36.100000000000001,,,,999.0,,7.0999999999999996,,MW,0
2708,EMEC,1149,1,1,1,1,1.0,,36.399999999999999,35.899999999999999,,,,30.0,,6.7000000000000002,,MW,0
2709,EMEC,1150,1,1,1,1,1.0,,35.5,31.800000000000001,,,,999.0,,6.5,,MW,0
2711,EMEC,1151,9,28,1,1,1.0,,36.700000000000003,32.600000000000001,,,,12.0,,6.0,,MS,43
2715,EMEC,1156,5,18,1,1,1.0,,36.600000000000001,36.5,,,,30.0,,7.4000000000000004,,MW,5
58980,KHAIR,1157,8,15,10,0,0.0,,36.299999999999997,35.100000000000001,,,,999.0,,7.2000000000000002,,MS,10
2721,EMEC,1160,1,1,1,1,1.0,,32.600000000000001,32.0,,,,999.0,,6.0,,MS,0
58981,KHAIR,1160,1,1,1,1,1.0,,35.299999999999997,34.700000000000003,,,,999.0,,6.5,,MW,0
2725,EMEC,1163,8,1,1,1,1.0,,36.100000000000001,36.200000000000003,,,,999.0,,6.7999999999999998,,MW,0
39,AM06,1170,6,29,1,1,1.0,,36.399999999999999,34.700000000000003,,,,35.0,,7.0999999999999996,,MS,0
58982,KHAIR,1170,6,29,10,0,0.0,,36.399999999999999,35.899999999999999,,,,999.0,,7.4000000000000004,,MS,0
2735,EMEC,1182,1,1,1,1,1.0,,36.700000000000003,32.600000000000001,,,,999.0,,6.5,,MS,0
2737,EMEC,1183,1,1,1,1,1.0,,32.5,34.75,,,,999.0,,6.2999999999999998,,MW,0
70933,SHARE,1190,6,1,0,0,0.0,,33.200000000000003,37.149999999999999,,,,999.0,,6.2000000000000002,,MW,0
58985,KHAIR,1201,6,2,40,0,0.0,,36.100000000000001,34.100000000000001,,,,999.0,,7.5,,MS,2
58986,KHAIR,1202,5,20,10,0,0.0,,35.5,32.5,,,,999.0,,6.7999999999999998,,MS,0
2749,EMEC,1212,5,1,1,1,1.0,,35.0,30.0,,,,999.0,,7.0,,MW,0
2750,EMEC,1213,6,22,1,1,1.0,,32.299999999999997,37.200000000000003,,,,999.0,,7.0,,MW,0
2753,EMEC,1222,5,11,6,15,1.0,,32.799999999999997,34.700000000000003,,,,999.0,,6.7999999999999998,,MW,0
